store_id,product_id,quantity,safety_stock,last_restocked_at
1,1,137,33,2024-11-23 5:01
1,2,208,41,2024-02-24 4:10
1,3,445,26,2025-04-15 6:19
1,4,405,7,2024-11-23 8:34
1,5,487,47,2025-08-24 14:54
1,6,300,29,2025-07-23 9:16
1,7,167,12,2023-06-27 11:27
1,8,374,9,2024-06-01 12:42
1,9,73,5,2025-09-26 7:14
1,10,315,26,2024-03-22 2:18
1,11,319,22,2023-06-16 11:09
1,12,342,47,2023-11-22 17:46
1,13,179,37,2023-07-15 3:00
1,14,436,31,2025-06-30 12:01
1,15,431,7,2024-06-24 18:56
1,16,332,14,2025-06-14 17:53
1,17,289,9,2025-04-29 3:07
1,18,299,47,2024-03-03 1:29
1,19,464,49,2025-02-09 18:51
1,20,68,40,2024-11-30 12:06
1,21,106,5,2024-11-13 4:59
1,22,151,18,2025-10-22 6:42
1,23,308,29,2023-05-18 9:51
1,24,212,16,2025-01-15 22:01
1,25,401,9,2025-04-12 22:53
1,26,221,40,2024-05-12 3:16
1,27,176,17,2023-05-27 21:42
1,28,108,12,2025-05-11 8:54
1,29,446,42,2023-02-22 13:10
1,30,23,35,2025-06-30 4:12
1,31,471,21,2025-10-02 10:12
1,32,156,5,2023-09-19 18:21
1,33,377,12,2025-09-24 17:36
1,34,274,29,2023-07-13 21:17
1,35,354,47,2025-02-12 5:41
1,36,438,30,2024-10-18 0:34
1,37,224,33,2024-06-17 2:04
1,38,321,48,2025-09-21 23:46
1,39,341,40,2024-07-08 1:09
1,40,366,39,2025-07-28 21:13
1,41,279,8,2025-08-06 8:04
1,42,432,8,2024-08-03 18:40
1,43,166,42,2025-03-03 6:48
1,44,376,32,2023-08-22 23:57
1,45,367,23,2025-10-24 1:46
1,46,270,48,2024-09-06 17:57
1,47,26,22,2025-01-29 13:06
1,48,203,38,2025-09-19 21:03
1,49,264,15,2023-08-03 8:25
1,50,186,10,2024-03-16 5:00
1,51,156,24,2024-10-24 9:20
1,52,100,40,2025-07-09 20:02
1,53,247,41,2023-09-18 20:58
1,54,64,34,2023-04-22 4:37
1,55,193,11,2024-08-23 12:03
1,56,495,47,2025-07-24 3:33
1,57,401,17,2025-08-11 6:37
1,58,86,46,2023-06-14 3:22
1,59,328,23,2024-12-19 20:19
1,60,359,41,2024-11-03 5:18
1,61,296,48,2024-08-06 19:38
1,62,41,5,2023-11-06 11:50
1,63,487,27,2023-08-08 9:48
